DISTRICT,YEAR,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,heatwave_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,heatwave_days_lag1,temp_range_stddev_lag1
arghakhanchi,1982,22.307260273972602,28.49421917808219,3.0335746996534043,1002.7,50.56334246575342,2.5689041095890413,56,-0.24941312424609613,21.94627397260274,1487.8,0.9192337116347722,49.0,3.6057896402453147
arghakhanchi,1983,22.7687397260274,29.166876712328765,3.2709421078749448,731.61,45.04030136986301,2.718246575342466,62,-0.9024918105766355,22.307260273972602,1002.7,-0.24941312424609613,56.0,3.0335746996534043
arghakhanchi,1984,22.508360655737704,28.945655737704918,3.6764763505514826,1002.52,46.84546448087431,2.694535519125683,63,-0.24984675943566245,22.7687397260274,731.61,-0.9024918105766355,62.0,3.2709421078749448
arghakhanchi,1985,22.736465753424657,28.995561643835615,4.03884124061748,904.93,48.872465753424656,2.721178082191781,77,-0.48494930471212916,22.508360655737704,1002.52,-0.24984675943566245,63.0,3.6764763505514826
arghakhanchi,1986,22.60334246575342,29.134136986301368,3.358741331410654,708.4,44.313315068493154,2.6913150684931506,68,-0.9584066591868088,22.736465753424657,904.93,-0.48494930471212916,77.0,4.03884124061748
arghakhanchi,1987,23.017671232876715,29.441178082191783,3.3455099072061043,895.9300000000001,45.02879452054794,2.520630136986301,77,-0.5066310641904381,22.60334246575342,708.4,-0.9584066591868088,68.0,3.358741331410654
arghakhanchi,1988,23.016639344262295,29.22939890710382,3.797012033890322,1176.04,48.936502732240434,2.514890710382514,71,0.1681775633061398,23.017671232876715,895.9300000000001,-0.5066310641904381,77.0,3.3455099072061043
arghakhanchi,1989,22.60964383561644,29.252301369863012,3.6951878551246287,843.23,44.26446575342466,2.833095890410959,64,-0.6335898113578713,23.016639344262295,1176.04,0.1681775633061398,71.0,3.797012033890322
arghakhanchi,1990,22.78972602739726,28.818520547945205,3.7474463053566143,1163.2,49.24660273972602,2.5772602739726027,61,0.13724491978375214,22.60964383561644,843.23,-0.6335898113578713,64.0,3.6951878551246287
arghakhanchi,1991,23.265123287671233,29.828657534246577,3.4215665090986436,688.26,43.054273972602736,2.739095890410959,74,-1.0069256187304918,22.78972602739726,1163.2,0.13724491978375214,61.0,3.7474463053566143
arghakhanchi,1992,22.91806010928962,29.47792349726776,3.30426909268057,756.32,43.53950819672131,2.8937431693989066,82,-0.8429633353867442,23.265123287671233,688.26,-1.0069256187304918,74.0,3.4215665090986436
arghakhanchi,1993,22.92186301369863,29.56219178082192,3.303043917263858,688.36,42.008657534246574,2.66786301369863,71,-1.006684710291844,22.91806010928962,756.32,-0.8429633353867442,82.0,3.30426909268057
arghakhanchi,1994,23.380109589041094,30.064821917808217,3.267461918174848,684.76,41.77090410958904,2.724219178082192,66,-1.0153574140831676,22.92186301369863,688.36,-1.006684710291844,71.0,3.303043917263858
arghakhanchi,1995,23.155972602739727,29.60613698630137,3.4342235207870617,751.17,43.94676712328767,2.7929863013698633,71,-0.8553701199771103,23.380109589041094,684.76,-1.0153574140831676,66.0,3.267461918174848
arghakhanchi,1996,22.893251366120218,29.318825136612023,3.6304363427521142,774.74,45.83469945355191,2.666393442622951,69,-0.7985880009878047,23.155972602739727,751.17,-0.8553701199771103,71.0,3.4342235207870617
arghakhanchi,1997,22.86704109589041,29.526575342465755,2.947030917186878,431.51,40.974219178082194,2.753315068493151,72,-1.6254580349589252,22.893251366120218,774.74,-0.7985880009878047,69.0,3.6304363427521142
arghakhanchi,1998,22.96641095890411,29.136958904109587,3.4330766432745166,911.07,48.761945205479456,2.6234794520547946,64,-0.47015752657914905,22.86704109589041,431.51,-1.6254580349589252,72.0,2.947030917186878
arghakhanchi,1999,23.66213698630137,30.508712328767125,3.482872363747002,507.85,40.826986301369864,2.731917808219178,88,-1.441548532895133,22.96641095890411,911.07,-0.47015752657914905,64.0,3.4330766432745166
arghakhanchi,2000,22.73330601092896,29.062431693989073,3.4955221389056605,903.58,45.42713114754099,2.612568306010929,58,-0.4882015686338753,23.66213698630137,507.85,-1.441548532895133,88.0,3.482872363747002
arghakhanchi,2001,23.02490410958904,29.38372602739726,3.2478585130774156,785.85,45.66441095890411,2.4754246575342465,58,-0.7718230734540251,22.73330601092896,903.58,-0.4882015686338753,58.0,3.4955221389056605
arghakhanchi,2002,23.74731506849315,30.414931506849317,2.4876137448586793,445.24,41.35405479452054,2.6563013698630136,86,-1.5923813063325711,23.02490410958904,785.85,-0.7718230734540251,58.0,3.2478585130774156
arghakhanchi,2003,23.073863013698627,29.5107397260274,3.131981602210632,588.27,45.0681095890411,2.598109589041096,67,-1.2478099665345077,23.74731506849315,445.24,-1.5923813063325711,86.0,2.4876137448586793
arghakhanchi,2004,22.502131147540986,28.398469945355192,3.507436228553919,1213.06,52.23426229508197,2.5192896174863386,40,0.2573618672935851,23.073863013698627,588.27,-1.2478099665345077,67.0,3.131981602210632
arghakhanchi,2005,22.544301369863014,28.341726027397257,3.5927481458907335,1361.3,53.08764383561644,2.495917808219178,60,0.6144845367452033,22.502131147540986,1213.06,0.2573618672935851,40.0,3.507436228553919
arghakhanchi,2006,22.40794520547945,28.210301369863014,3.2924698280879507,1302.37,55.45279452054795,2.3704657534246576,22,0.4725171938500071,22.544301369863014,1361.3,0.6144845367452033,60.0,3.5927481458907335
arghakhanchi,2007,22.063643835616435,27.615397260273976,3.2629041087567128,1611.45,57.91353424657534,2.370958904109589,45,1.2171169960228767,22.40794520547945,1302.37,0.4725171938500071,22.0,3.2924698280879507
